Cod_cmd,Libelle,Vendeur,Univers,Nature,Date_cmd,Montant_cmd,Quantite,Prix_transport,Delai_transport
CMD01000,lampe modèle 7,Vendeur A,Maison,Luminaire,2023-05-21,16.77,2,5.82,10
CMD01000,boîte de rangement vert modèle 3,Vendeur F,Maison,Rangement,2023-04-12,171.93,3,3.89,13
CMD01001,grille-pain,Vendeur E,Cuisine,Électroménager,2023-02-17,54.31,4,1.97,5
CMD01001,lampe frontale vert,Vendeur A,Sport,,2023-10-23,155.15,4,15.89,6
CMD01002,câble lightning modèle 4,Vendeur B,High-Tech,Téléphonie,2023-07-01,187.59,3,24.74,11
CMD01002,tapis yoga rouge,Vendeur A,Sport,Fitness,2023-12-17,88.34,5,21.91,6
CMD01003,souris ergonomique blanc 38 cm,Vendeur D,High-Tech,Informatique,2023-09-13,359.64,4,9.05,3
CMD01003,gourde isotherme,Vendeur A,Sport,Plein air,2023-02-16,156.98,5,24.9,9
CMD01004,mug,Vendeur C,Cuisine,Art de la table,2023-01-06,176.73,4,0.08,12
CMD01004,mug bleu 74 cm,Vendeur E,Cuisine,Art de la table,2023-04-02,367.8,5,8.1,1
CMD01005,cadre photo,Vendeur E,Maison,Décoration,2023-06-07,307.5,2,16.49,9
CMD01005,coque silicone,Vendeur F,High-Tech,Téléphonie,2023-09-28,128.13,3,10.95,9
CMD01006,transat bleu 12 cm modèle 1,Vendeur C,Jardin,Mobilier extérieur,2023-05-07,32.99,2,6.96,8
CMD01006,tapis souris modèle 2,Vendeur F,High-Tech,Informatique,2023-03-09,175.27,4,10.28,14
CMD01007,boîte de rangement modèle 4,Vendeur B,Maison,Rangement,2023-12-01,216.83,2,10.55,5
CMD01007,transat rouge,Vendeur B,Jardin,Mobilier extérieur,2023-02-08,70.69,4,12.03,14
CMD01008,table jardin modèle 9,Vendeur F,Jardin,Mobilier extérieur,2023-03-26,288.77,2,4.75,4
CMD01008,étagère blanc 28 cm modèle 2,Vendeur F,Maison,Rangement,2023-10-05,345.42,4,3.0,10
CMD01009,tapis souris gris modèle 6,Vendeur B,,Informatique,2023-11-01,109.92,2,16.79,5
